post,url
2016-10-24-ays-digest-24-10-evictions-persecutions-and-fires-welcome-to-europe-of-today-efd3ca5a8be5.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14646047_1309430059109496_3514662963422167040_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=776239&_nc_ohc=-GmdWK8z1T0AX984WL_&_nc_ht=scontent.flis6-1.fna&oh=00_AfAT8qmJ8d46ZZ_sXKMG_b4g4mJvsg1E6UEm_czrEHJLJQ&oe=639B7CED
2016-10-27-children-left-without-shelter-after-large-fires-in-the-jungle-dd9301cff389.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14768851_1851853531716733_3493592566832562176_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=776239&_nc_ohc=HbbALEgriDwAX_3RBmG&_nc_ht=scontent.flis6-1.fna&oh=00_AfAldUPa1X1TDjW7KOLLVpopHbkZcU_UtPFQe40N-Omkyg&oe=639A69F1
2016-10-27-children-left-without-shelter-after-large-fires-in-the-jungle-dd9301cff389.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14511026_1777828049169621_728515337749790720_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=776239&_nc_ohc=jTOntxj8Y5oAX_a-jfM&_nc_ht=scontent.flis6-1.fna&oh=00_AfDedlKYpNuys-Cl-8X5YmiTPJyjBHSSLUbX7SkhH1bUGA&oe=639A491C
2016-10-29-ays-daily-digest-29-10-montenegro-a-new-route-for-refugees-in-the-balkans-b7d5c72cba96.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14768775_10153832354225755_7715117283575595008_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=776239&_nc_ohc=_uI5mRtu8iQAX-jow6E&_nc_ht=scontent.flis6-1.fna&oh=00_AfAmBCGYpBn0wmZ2X7ti9xqV3466nYFzfSKaS_AMK1bHyA&oe=639A691D
2016-10-29-ays-daily-news-digest-28-10-political-ping-pong-costing-the-most-vulnerable-ones-c57f67499f43.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14900022_1281571141873734_204278072050974720_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=776239&_nc_ohc=YuUZtiCsz4wAX_Gcenf&_nc_ht=scontent.flis6-1.fna&oh=00_AfCOVG373oWJv66J9FJ1DyQDPkHghSNVCPYE8aLJcO8ZGQ&oe=639A60B2
2016-11-07-ays-digest-7-11-un-report-proves-no-link-between-migration-and-terrorism-detention-and-a8a21a487efe.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14926349_1201359179924227_8397501850772832256_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=776239&_nc_ohc=JyeQBdSGuyAAX-4C_ax&_nc_ht=scontent.flis6-1.fna&oh=00_AfCc9n5nwOx0lY_H5tBLjJEsdS_u4C654r15d4MRNkIAqw&oe=639AAF44
2016-11-13-ays-daily-digest-although-hatred-rains-down-solidarity-will-grow-79562d03fcb2.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14992503_1147005592042858_7975635126279208960_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=776239&_nc_ohc=t-AZ3ZTVRasAX9ktip5&_nc_ht=scontent.flis6-1.fna&oh=00_AfAlJ5HOK6EfMnRy8S7sQByB58zpmdfuco6UGzEvL6obIw&oe=639B13A3
2016-11-14-ays-digest-14-11-we-hope-therefore-we-march-the-borders-stay-closed-60a4b79ad4fe.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/15066324_1209027219157423_4285558981159550976_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=776239&_nc_ohc=zNe2TM4GRRAAX-7RYCl&_nc_ht=scontent.flis6-1.fna&oh=00_AfCxSBofL9OM_8PLwJZAOpIVjcnhNfb65foYnUXOwDpskA&oe=639BE767
2016-11-17-ays-daily-digest-17-11-second-night-of-fascist-attacks-on-souda-camp-9a50d5721bce.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/15065345_1195291357176372_1987396996968742912_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=776239&_nc_ohc=EvXzjC3VJWcAX-jqBal&_nc_ht=scontent.flis6-1.fna&oh=00_AfBF3Q2lWGWESg_a1uljtNE-ZdZU9C0xH4MDNHTYnpun7Q&oe=639A7310
2016-11-17-ays-digest-16-11-support-needed-in-refugee-camps-as-temperatures-drop-d3299efbd2a0.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/15065383_10154520820215469_4446126037167767552_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=776239&_nc_ohc=xpaQ40WesaUAX9GFWJR&_nc_ht=scontent.flis6-1.fna&oh=00_AfAbyKAqGMwvGDJnb0H5BsV1RoRq8erNO_oOiNRSIk4fDw&oe=639B6396
2016-11-17-ays-digest-16-11-support-needed-in-refugee-camps-as-temperatures-drop-d3299efbd2a0.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14992492_10209546157904678_4019355821526745088_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=776239&_nc_ohc=U2bHFtoZfGIAX_3G5pY&_nc_ht=scontent.flis6-1.fna&oh=00_AfDB70sJEYzPLS3PNctihGSaT1CrR8cfsgDA8ySHMAXFlA&oe=639B283A
2016-11-17-ays-digest-16-11-support-needed-in-refugee-camps-as-temperatures-drop-d3299efbd2a0.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/15066454_1874759979436337_1060447396980326400_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=776239&_nc_ohc=UN4906FA47EAX_EBO9d&_nc_ht=scontent.flis6-1.fna&oh=00_AfArlW05Dfr5c8-v-eBytKqIdoo490QIp7Iyn7Nv3pPEcQ&oe=639BD1C9
2016-11-24-ays-digest-23-11-2016-the-year-europe-decided-to-shut-the-door-to-refugees-3a5668b066d8.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/15198029_1680037578974016_2881143368727920640_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=776239&_nc_ohc=TITlxOLc57EAX-e4_lG&_nc_ht=scontent.flis6-1.fna&oh=00_AfC01tyxngCPL88vYrLG1LljyIGxnPSf57zX4BdCTrfV6Q&oe=639A9B17
2016-11-25-ays-news-digest-24-11-16-d2067a4339ac.md,https://scontent.flis6-1.fna.fbcdn.net/v/t1.18169-9/15181246_1317599898281735_172325359852217973_n.jpg?stp=dst-jpg_p206x206&_nc_cat=104&ccb=1-7&_nc_sid=0cb389&_nc_ohc=tgd8uaofuF4AX_2iLtY&_nc_ht=scontent.flis6-1.fna&oh=00_AfA6De3nOmlU1OAtJ_x5kY_A3a_e9OfuVLCOH5K9DIz4TA&oe=63BD7CEE
2016-11-25-ays-news-digest-24-11-16-d2067a4339ac.md,https://scontent.flis6-1.fna.fbcdn.net/v/t31.18172-8/15111011_1873882816173772_6322266960822925018_o.jpg?stp=dst-jpg_p206x206&_nc_cat=103&ccb=1-7&_nc_sid=0cb389&_nc_ohc=HrQyl2URuUsAX92gC0X&_nc_oc=AQk6fVIV9QvBJRF929ztcr6VJziOz8h_hvMprK5AT1zd-zt3YKcmyb4bZz0iJy9ORrA&_nc_ht=scontent.flis6-1.fna&oh=00_AfCc12lpLuMQ3k5VOcGqCUOcoOz5mZlbtKw2Sl0Gn5-_Kw&oe=63BD7CCA
